product_name,price,old_price,difference,percentage_difference,price_per_unit,promo_description,category,purchasable,page
Couches Bébés Baby-Dry 6-10kg Taille 3 PAMPERS,35.9,,,,0.26 € / U,25% d'économies supplémentaire,,True,0
Lait Demi-Ecrémé UHT Vitamine D LACTEL,9.6,,,,1.20 € / L,Prenez en 4 = Payez en 3,,True,0
Soda goût Original COCA-COLA,12.33,13.7,1.37,10.0,1.87 € / L,1 acheté = 10% de remise,,True,0
Jus Multifruits Sans Sucres Ajoutés JOKER,7.96,,,,1.99 € / L,Le 2ème à -50%,,True,0
Litière pour chats Hygiène Non Agglomérante CARREFOUR COMPANINO,4.69,,,,0.35 € / L,Prenez en 5 = Payez en 4,,True,0
Pâtes spaghetti n°5 BARILLA,1.9,,,,1.90 € / KG,Prenez en 8 = Payez en 6,,True,0
Emmental râpé fondant CARREFOUR CLASSIC',4.09,,,,8.18 € / KG,"2 achetés = 7,99€",,True,0
Huile d'olive vierge extra CARREFOUR EXTRA,11.29,,,,11.29 € / L,Prenez en 6 = Payez en 5,,True,0
Glaces vanille/chocolat EXTREME MINI,4.69,,,,15.03 € / KG,Prenez en 3 = Payez en 2,,True,0
Emmental râpé fondant CARREFOUR CLASSIC',1.79,,,,8.95 € / KG,"2 achetés = 3,2€",,True,0
Glace Mini Chocolat Blanc et Amande MAGNUM,3.9,,,,15.18 € / KG,Prenez en 3 = Payez en 2,,True,0
Capsules Lave-vaisselle Anti-Terne Platinum Plus FAIRY,8.81,13.35,4.54,34.01,,PROMO : 34%,,True,0
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,0
Capsules Lave-vaisselle Tout en 1 Original FAIRY,9.47,14.35,4.88,34.01,,PROMO : 34%,,True,0
Tablette de Chocolat Noir Excellence 70% Sel Rose LINDT,2.5,,,,25.00 € / KG,Le 2ème à -50%,,True,0
Crème Dessert Chocolat DANETTE,1.59,,,,3.18 € / KG,Prenez en 6 = Payez en 4,,True,0
Beurre doux PRESIDENT,10.99,,,,10.99 € / KG,Le 2ème à -50%,,True,0
Gel Douche et Cheveux Enfant Amande Douce PETIT CADUM,4.39,,,,5.85 € / L,Prenez en 3 = Payez en 2,,True,0
Thon entier Albacore au naturel CARREFOUR CLASSIC',5.95,,,,14.17 € / KG,Le 2ème à -30%,,True,0
Pavé de saumon avec peau sans arêtes ASC FILIERE QUALITE CARREFOUR,10.39,12.99,2.6,20.02,21.65 € / KG,PROMO : 20%,,True,0
Glace au Chocolat HAAGEN DAZS,4.79,,,,11.98 € / KG,Prenez en 3 = Payez en 2,,True,0
Lingettes Protection Couleurs DECOLOR STOP,14.65,,,,0.18 € / U,Le 2ème à -68%,,True,0
Biscuits sablés nappés au chocolat au lait Granola LU,4.95,,,,8.25 € / KG,Le 2ème à -50%,,True,0
Steak haché façon bouchère Le Classique 15% MG CARREFOUR,13.29,,,,13.29 € / KG,Prenez en 4 = Payez en 3,,True,0
Détachant Oxi Action Poudre efficace dès 20° VANISH,6.69,,,,14.23 € / KG,Prenez en 6 = Payez en 4,,True,0
Glace Cookie Dough BEN & JERRY'S,4.89,,,,12.04 € / KG,Le 2ème à -60%,,True,0
Capsules Lave-vaisselle Citron Tout en 1+ FAIRY,9.47,14.35,4.88,34.01,,PROMO : 34%,,True,0
Riz Basmati Long CARREFOUR EXTRA,2.55,,,,2.55 € / KG,Le 2ème à -20%,,True,0
Rillettes Porc du Mans BORDEAU CHESNEL,1.95,,,,17.73 € / KG,Prenez en 3 = Payez en 2,,True,0
Café moulu L'Original Bio MEO,7.25,,,,14.50 € / KG,Le 2ème à -60%,,True,0
Couches Bébés Prenium Protection 6-10kg Taille 3 PAMPERS,35.9,,,,0.32 € / U,25% d'économies supplémentaire,,True,0
Dés de fromage de brebis pour apéritif et salade aux herbes de Provence SALAKIS,3.39,,,,11.30 € / KG,Le 2ème à -60%,,True,0
Pâtes coquillettes PANZANI,2.97,,,,1.65 € / KG,Vu en catalogue,,True,0
Huile d'olive vierge extra TERRA DELYSSA,8.89,,,,11.85 € / L,Prenez en 3 = Payez en 2,,True,0
Couches Bébés Baby-Dry 6-10kg Taille 3 PAMPERS,35.9,,,,0.26 € / U,25% d'économies supplémentaire,,True,1
Lait Demi-Ecrémé UHT Vitamine D LACTEL,9.6,,,,1.20 € / L,Prenez en 4 = Payez en 3,,True,1
Soda goût Original COCA-COLA,12.33,13.7,1.37,10.0,1.87 € / L,1 acheté = 10% de remise,,True,1
Jus Multifruits Sans Sucres Ajoutés JOKER,7.96,,,,1.99 € / L,Le 2ème à -50%,,True,1
Litière pour chats Hygiène Non Agglomérante CARREFOUR COMPANINO,4.69,,,,0.35 € / L,Prenez en 5 = Payez en 4,,True,1
Pâtes spaghetti n°5 BARILLA,1.9,,,,1.90 € / KG,Prenez en 8 = Payez en 6,,True,1
Emmental râpé fondant CARREFOUR CLASSIC',4.09,,,,8.18 € / KG,"2 achetés = 7,99€",,True,1
Huile d'olive vierge extra CARREFOUR EXTRA,11.29,,,,11.29 € / L,Prenez en 6 = Payez en 5,,True,1
